Aplayers,TotalRuns,BattingAvg,BattingStrikeRate,TotalWickets,BowlingAvg,BowlingEconomy,Team,AvgScore
Virat Kohli,4449,37.28,129.48,4,92,8.79,Bangalore,188
Chris Gayle,3676,41.2,151.2,18,40.22,7.91,Bangalore,188
Lasith Malinga,88,5.5,88.88,154,19.01,6.86,Mumbai,180
Suresh Raina ,4544,33.91,138.96,25,44.48,7.39,Chennai,168
Sunil Narine,321,15.28,158.12,96,21.46,6.34,Kolkata,138
Sreesanth,34,8.5,61.81,40,29.85,8.14,Punjab,182
Shane Watson,2638,31.03,138.47,88,27.95,7.83,Rajasthan,170
Dwayne Bravo,1306,23.74,128.92,122,22.48,8.13,Chennai,168
Sachin Tendulkar,2334,34.83,119.81,0,0,9.66,Mumbai,180
Sohail Tanvir,36,12,124.14,22,12.09,6.49,Rajasthan,170
